given address,elys address,commitment,acount_type,bank
stars102y0s0xajewjdwwa9ghxdx73kvlkhs5fcspmeq,elys102y0s0xajewjdwwa9ghxdx73kvlkhs5fvv0pln,20.53,,0
stars102yfnxqremnnr3att6vazz9rd6h8803qvmcxm7,elys102yfnxqremnnr3att6vazz9rd6h8803qc8kuad,39.85,,0
stars10305f3vwucveu4lnr0vxjs5mrgf6r0xvrhuduz,elys10305f3vwucveu4lnr0vxjs5mrgf6r0xvhtjh63,280.7,,0
stars1032pwnhnzxdg3p9yjj7h3dqwj9z7600wddmumr,elys1032pwnhnzxdg3p9yjj7h3dqwj9z7600we34xas,137.48,,0
stars1032u3zt4ts8qvzd6wujn88aefs7vd0um76teq2,elys1032u3zt4ts8qvzd6wujn88aefs7vd0um2x9rxe,158.01,,0
stars103394qgqpsaz68u94670alapdslg39nwzxzt6j,elys103394qgqpsaz68u94670alapdslg39nwk6v3up,137.48,,0
stars1035k2np0dg9x7v8g0cpmklem8ptwr6a445qrmj,elys1035k2np0dg9x7v8g0cpmklem8ptwr6a4pgweap,280.7,,0
stars10362378j6s3u4205mx82mfpx8fxf0wz9qwkwrg,elys10362378j6s3u4205mx82mfpx8fxf0wz95jc59m,60.38,,0
stars103705vac267r04qecqqs8msne97j5mxzr2hhwu,elys103705vac267r04qecqqs8msne97j5mxzhkedg0,39.85,,0
stars1037u3gelr4tz4up9h4wwvy50lp0gc3jf6hvydu,elys1037u3gelr4tz4up9h4wwvy50lp0gc3jfwtz7t0,20.53,,0
stars10383u7qjtwgtnnnptkg4lr7d9g3avatjd398tk,elys10383u7qjtwgtnnnptkg4lr7d9g3avatjedtad9,280.7,,0
stars1038cpd3wkph0vvjv6zzfysmgyn2sl6lkvlyc2k,elys1038cpd3wkph0vvjv6zzfysmgyn2sl6lkcr2zv9,20.53,,0
stars103a4ta8fl6hxwdpvq7e22ztsurd5xksdydpftf,elys103a4ta8fl6hxwdpvq7e22ztsurd5xksds30nd6,418.18,,0
stars103ehcmzy67965lt2yy23cmpv0hu9yn7696wxku,elys103ehcmzy67965lt2yy23cmpv0hu9yn763xqus0,44.17,,0
