given address,elys address,commitment,acount_type,bank
cosmos13hl04uadju9qel0fh0nxjx2aey2l3wyyg4setq,elys13hl04uadju9qel0fh0nxjx2aey2l3wyyg4f7xz,17.61,,0
cosmos1vrq2eqgw63mpahyk95t4svcscrwz3k5cjew2yl,elys1vrq2eqgw63mpahyk95t4svcscrwz3k5cjehdfa,17.61,,0
cosmos128g9eu890dxmprj5mrf00m05akuj2qqutdl5ay,elys128g9eu890dxmprj5mrf00m05akuj2qqutdxnsx,17.61,,0
cosmos1rsr6rdhsvqtymlqdq85gls09rdp8svl4t4w5j3,elys1rsr6rdhsvqtymlqdq85gls09rdp8svl4t4hnln,17.61,,0
cosmos1azdgzjfcqgrwlz5cw7tdktnfc2lc26a3nxazhl,elys1azdgzjfcqgrwlz5cw7tdktnfc2lc26a3nxy96a,17.61,,0
cosmos1255g3ugvrmc3u8ch6h9l8a36lqky9wvx22nwk2,elys1255g3ugvrmc3u8ch6h9l8a36lqky9wvx222fmg,17.61,,0
cosmos1pkgkg6lcc50kzkx8pvwfpdumnllvtzt24r8a79,elys1pkgkg6lcc50kzkx8pvwfpdumnllvtzt24r76n8,17.61,,0
cosmos15uysk5layzlyghhgp9tzw58whw67fsckpa42r8,elys15uysk5layzlyghhgp9tzw58whw67fsckpavdw9,17.61,,0
cosmos10zzjyyvj8p2j4aaygsddnsxehx633msy0whjq2,elys10zzjyyvj8p2j4aaygsddnsxehx633msy0ww4dg,17.61,,0
cosmos1palx9uhdnqtcplesn0ggel2k8vqa0eerdqutjs,elys1palx9uhdnqtcplesn0ggel2k8vqa0eerdq9vlj,17.61,,0
cosmos10rul2gt24s03hvpnnts9h8wjtywjk0vr03rug6,elys10rul2gt24s03hvpnnts9h8wjtywjk0vr036m9c,17.61,,0
cosmos1mrtt8tnp9076ddaetxn3mlq459hvc3vsgpgkan,elys1mrtt8tnp9076ddaetxn3mlq459hvc3vsgp33s3,17.61,,0
cosmos1gywae9dtpqhtlh24k2xn0u05dwnncmmygujsgg,elys1gywae9dtpqhtlh24k2xn0u05dwnncmmyguth92,17.61,,0
cosmos1xlaf82edql3wcd8k695djdk94cnalegy5zu6vu,elys1xlaf82edql3wcd8k695djdk94cnalegy5z9ap7,17.61,,0
cosmos1uqcw4tssdyutey9yavq7uehgwcjmdt6pwgrfgl,elys1uqcw4tssdyutey9yavq7uehgwcjmdt6pwg6w9a,17.61,,0
cosmos18wfmnynddackh6hls22fd6gzeus74feu8dw7xn,elys18wfmnynddackh6hls22fd6gzeus74feu8dhet3,17.61,,0
cosmos15htxdmjhkhl9dg0k245rvalfq9np0hpv6x292d,elys15htxdmjhkhl9dg0k245rvalfq9np0hpv6xnz80,17.61,,0
cosmos1m6x4alns0j2ga7g77aktnlkrrfzwcw0hmlnzw0,elys1m6x4alns0j2ga7g77aktnlkrrfzwcw0hml29rd,17.61,,0
cosmos1gm5vjvdng6enr2w2y5h5receh7hfhk2mgnfx30,elys1gm5vjvdng6enr2w2y5h5receh7hfhk2mgnspud,17.61,,0
cosmos1l53jn3zekwgvgls9c7hld3r38ev7xlvj9dvp73,elys1l53jn3zekwgvgls9c7hld3r38ev7xlvj9d4xnn,17.61,,0
cosmos1j2gag6xlgtrfxxtlf97zv8jwxz3kh6qwf74gyg,elys1j2gag6xlgtrfxxtlf97zv8jwxz3kh6qwf7v0f2,17.61,,0
cosmos1y9a0ae72fns55jhw456jvqqss5ytg46zm08h9y,elys1y9a0ae72fns55jhw456jvqqss5ytg46zm07sgx,17.61,,0
cosmos1jgw3xvzyja609enn82lgd2mrz0lkcgwzuug2tr,elys1jgw3xvzyja609enn82lgd2mrz0lkcgwzuu3dxp,17.61,,0
cosmos14nuhv2thfwyrh6q05cr6ag4msymh8ap2s3r8d6,elys14nuhv2thfwyrh6q05cr6ag4msymh8ap2s36qqc,17.61,,0
cosmos16hqqlsz3uzp2dd6rxkz23drtt7yg23duu63xye,elys16hqqlsz3uzp2dd6rxkz23drtt7yg23duu6gpfm,17.61,,0
cosmos1equadhjphcjugqj6kq8w4wnsu49swcezqy5y28,elys1equadhjphcjugqj6kq8w4wnsu49swcezqydr89,17.61,,0
cosmos1amfewyr922uh5jvlw7f4mc2dsfu9f38v5pw20q,elys1amfewyr922uh5jvlw7f4mc2dsfu9f38v5phdzz,17.61,,0
cosmos1hxl75m8ds2x27q0s5d5q4lzrpecwl8gm2glcwt,elys1hxl75m8ds2x27q0s5d5q4lzrpecwl8gm2gxlrf,17.61,,0
cosmos16lxpcfywa6k7u2h475d0vxqjpuhtct55wqey9y,elys16lxpcfywa6k7u2h475d0vxqjpuhtct55wqqrgx,17.61,,0
cosmos1hl4xv8046daptemwz28fx6j8ym7muc2nrgglha,elys1hl4xv8046daptemwz28fx6j8ym7muc2nrg3c6l,17.61,,0
cosmos1ehqu2q32ss0xjq6g7h3f8y4njq7spl0js247mp,elys1ehqu2q32ss0xjq6g7h3f8y4njq7spl0js2vekr,17.61,,0
cosmos1zv8r2560qmqhthwfh9ygspfzqq7vy97n5zssgj,elys1zv8r2560qmqhthwfh9ygspfzqq7vy97n5zfh9s,17.61,,0
cosmos1cznmdt3na560fjsqu726n0kkfg7q57r78gcvte,elys1cznmdt3na560fjsqu726n0kkfg7q57r78gptxm,17.61,,0
cosmos1szsjxcp8rnvv8vc50890r669jj8z8m3wnfe78v,elys1szsjxcp8rnvv8vc50890r669jj8z8m3wnfqe2w,17.61,,0
cosmos1ygwsn8u8wzy6zws7ra6yuwevwjncqkzd4rp59t,elys1ygwsn8u8wzy6zws7ra6yuwevwjncqkzd4rcngf,17.61,,0
