given address,elys address,commitment,acount_type,bank
elys17v5rvy6hw2l5kq0ejn7wpjjz0tuzv6t850szg0,elys17v5rvy6hw2l5kq0ejn7wpjjz0tuzv6t850szg0,1387,,0
elys1jvgz9dekshddthtjq6fxvjyn0qanfckyf77th2,elys1jvgz9dekshddthtjq6fxvjyn0qanfckyf77th2,1387,,0
elys1e78luhzmkjdkdvn4xzs20t7hym0hnn0vryu34y,elys1e78luhzmkjdkdvn4xzs20t7hym0hnn0vryu34y,1387,,0
elys1ha3xj8yetuc56cmhvjp8axyqc6jx5zty9vqqzz,elys1ha3xj8yetuc56cmhvjp8axyqc6jx5zty9vqqzz,1387,,0
elys1w55clxf9q3rusv8gyspls9e8jptrhywqdesxzt,elys1w55clxf9q3rusv8gyspls9e8jptrhywqdesxzt,1387,,0
elys1agzky2ak6xs5vve3c2wzjtqdq7fwadcgqul7q4,elys1agzky2ak6xs5vve3c2wzjtqdq7fwadcgqul7q4,1387,,0
elys1zz9ppl2wy4ruzzv8mmnx6cente9ygvcx8hpa9d,elys1zz9ppl2wy4ruzzv8mmnx6cente9ygvcx8hpa9d,1387,,0
elys1arnxwf8ysmelc69pmhachdz5q4dxsthq976xtp,elys1arnxwf8ysmelc69pmhachdz5q4dxsthq976xtp,1387,,0
elys1j7euyj85fv2jugejrktj540emh9353ltpwdtq0,elys1j7euyj85fv2jugejrktj540emh9353ltpwdtq0,1387,,0
elys1yw05e82z7jyl3070vj7puljwqcvaayqvv9p6e0,elys1yw05e82z7jyl3070vj7puljwqcvaayqvv9p6e0,1387,,0
elys19n365ukzj6wmzdtc9c940n8ysywf7tmge03g2k,elys19n365ukzj6wmzdtc9c940n8ysywf7tmge03g2k,1387,,0
elys12wd9vxqz0etjle0m84n65ymgpt7wgx85lev85l,elys12wd9vxqz0etjle0m84n65ymgpt7wgx85lev85l,1387,,0
elys1sgytr3u50jq7fdv29khnc4v68dr9vknj3z9p2f,elys1sgytr3u50jq7fdv29khnc4v68dr9vknj3z9p2f,1387,,0
elys1p9rywth78292a4ychkfm0lghl7trwk9usa75tr,elys1p9rywth78292a4ychkfm0lghl7trwk9usa75tr,1387,,0
elys1qru73rflllclslgcxglchvuj2z5pvhzlp75kge,elys1qru73rflllclslgcxglchvuj2z5pvhzlp75kge,1387,,0
elys15h4na48ejh3ylk2q3s8g5nnc6ump2egwck7rt9,elys15h4na48ejh3ylk2q3s8g5nnc6ump2egwck7rt9,1387,,0
elys1yp23pfwmrhyxv3yal3xfglgc5vex57a7sz2n07,elys1yp23pfwmrhyxv3yal3xfglgc5vex57a7sz2n07,1387,,0
elys147s0w5xsh6mwr8dut9gtjvq0f8skvemnac4srv,elys147s0w5xsh6mwr8dut9gtjvq0f8skvemnac4srv,1387,,0
elys14qwffep0853lhv5rzan2hgt0vzn6ep935s0vf6,elys14qwffep0853lhv5rzan2hgt0vzn6ep935s0vf6,1387,,0
elys10unx6s0cdqntvrumd5hs07rgd5ytcztqjn5e0t,elys10unx6s0cdqntvrumd5hs07rgd5ytcztqjn5e0t,1387,,0
elys1zp5u5v6lkzjvgdnkulk48d4kxhnftgauygrte4,elys1zp5u5v6lkzjvgdnkulk48d4kxhnftgauygrte4,1387,,0
elys1wvpqyj0fjhj0sqc4lcnadkp8uuyhct9m3slkqm,elys1wvpqyj0fjhj0sqc4lcnadkp8uuyhct9m3slkqm,1387,,0
elys1c32k8q2rhlhyswj6lpuc23elrlnaq2h9yl79fc,elys1c32k8q2rhlhyswj6lpuc23elrlnaq2h9yl79fc,1387,,0
elys1zlsv0ta0asrmk5xnrr597fcq0l0r6w6a65fnjg,elys1zlsv0ta0asrmk5xnrr597fcq0l0r6w6a65fnjg,1387,,0
elys1uakeurewqzxmhaktmhunfk8js2ms5p4hvgnspl,elys1uakeurewqzxmhaktmhunfk8js2ms5p4hvgnspl,1387,,0
elys18k994adu9gl2dg3xuzn6hc07jmd9rqkr0cvrpf,elys18k994adu9gl2dg3xuzn6hc07jmd9rqkr0cvrpf,1387,,0
elys140l6y2gp3gxvay6qtn70re7z2s0gn57zve2rtr,elys140l6y2gp3gxvay6qtn70re7z2s0gn57zve2rtr,1387,,0
elys12s6w40eh07x5yyqkhhly34mkkc5t8gvcy42tc6,elys12s6w40eh07x5yyqkhhly34mkkc5t8gvcy42tc6,1387,,0
elys1560qfqes56umcwxlw52fzzkadn9kxwg4qmh2ca,elys1560qfqes56umcwxlw52fzzkadn9kxwg4qmh2ca,1387,,0
elys1q8teur40emyun60et4wh5z6yj5669stgkjv74v,elys1q8teur40emyun60et4wh5z6yj5669stgkjv74v,1387,private-round,124999.875
elys100krpnhuwdjq6kskt6gm58wfd3ftmherydh2xf,elys100krpnhuwdjq6kskt6gm58wfd3ftmherydh2xf,928.95,,0
elys18gjvlmf7xxcw78sqth4ur2qa6xvzqdxsggszhl,elys18gjvlmf7xxcw78sqth4ur2qa6xvzqdxsggszhl,928.95,,0
elys1xc3kl70pmq5g8cvq7sxcgjr49fqhm8nlcgtxq4,elys1xc3kl70pmq5g8cvq7sxcgjr49fqhm8nlcgtxq4,928.95,,0
elys1nf3w7jaa74wu8v77nrrt5syxxm2qhl4rjzmfjn,elys1nf3w7jaa74wu8v77nrrt5syxxm2qhl4rjzmfjn,928.95,,0
elys155yhukevh6lmsxxg78csq6pzwt4w9k77syp8us,elys155yhukevh6lmsxxg78csq6pzwt4w9k77syp8us,928.95,,0
elys1fyj4qxn6fttg825zcyxwrkmwtszvzegudwkyul,elys1fyj4qxn6fttg825zcyxwrkmwtszvzegudwkyul,928.95,,0
elys14k6zkzy4xm9s96whu5x7xk2nkgdut79gwxzxq3,elys14k6zkzy4xm9s96whu5x7xk2nkgdut79gwxzxq3,928.95,,0
elys1ccqylr36eetsvedtnmfg27qkyx2as4mcpk38cy,elys1ccqylr36eetsvedtnmfg27qkyx2as4mcpk38cy,928.95,,0
elys1z0amxpw29229ylua8vr8s7mgzw5xru6g8qaxgs,elys1z0amxpw29229ylua8vr8s7mgzw5xru6g8qaxgs,928.95,,0
elys1ql9jk59alkmdxhdazdkyedcqef6kzlzlcf9q8q,elys1ql9jk59alkmdxhdazdkyedcqef6kzlzlcf9q8q,928.95,,0
elys1eusmflt0hfgyqla8556zhlcpweth8xkqz5ch95,elys1eusmflt0hfgyqla8556zhlcpweth8xkqz5ch95,928.95,,0
